Frame,VehicleID,Class,Confidence,Xmin,Ymin,Xmax,Ymax,Lane
37,315,car,0.57,203,15,216,28,
37,316,train,0.56,288,113,320,159,
37,317,car,0.48,565,161,602,188,
38,318,car,0.75,180,37,199,54,
38,319,car,0.69,142,41,163,61,
38,320,car,0.67,562,162,603,193,
38,321,car,0.65,150,94,180,127,
38,322,train,0.52,288,116,320,159,
38,323,car,0.50,203,15,216,29,
38,324,bus,0.31,300,167,345,237,
38,325,person,0.26,30,225,38,243,
38,326,bus,0.25,289,117,320,159,
39,327,car,0.76,180,38,199,55,
39,328,car,0.70,148,95,180,131,
39,329,car,0.69,559,164,602,195,
39,330,car,0.68,142,41,163,61,
39,331,car,0.52,203,15,216,29,
39,332,train,0.44,288,117,320,159,
39,333,car,0.33,136,174,197,248,Left Lane
39,334,bus,0.32,300,167,345,238,
39,335,person,0.27,30,225,38,243,
39,336,car,0.26,288,118,320,160,
39,337,person,0.25,62,192,69,208,
40,338,car,0.77,179,39,200,56,
40,339,car,0.73,554,154,601,198,
40,340,car,0.68,142,41,163,61,
40,341,car,0.57,146,97,178,135,
40,342,car,0.54,145,109,177,135,
40,343,train,0.52,288,117,320,160,
40,344,car,0.48,202,15,216,30,
40,345,bus,0.35,300,168,346,239,
40,346,person,0.34,62,192,69,208,
40,347,car,0.32,134,180,194,255,Left Lane
40,348,person,0.27,30,225,38,243,
41,349,car,0.87,179,40,200,58,
41,350,car,0.78,550,155,601,201,
41,351,car,0.66,143,105,176,137,
41,352,car,0.64,142,41,163,61,
41,353,train,0.59,288,117,320,160,
41,354,car,0.48,202,17,217,31,
41,355,bus,0.41,300,169,346,240,
41,356,person,0.35,63,192,69,208,
41,357,car,0.35,129,196,182,264,Left Lane
41,358,person,0.28,31,225,38,243,
41,359,bus,0.25,289,118,320,161,
42,360,car,0.86,179,41,200,59,
42,361,car,0.76,547,158,600,204,
42,362,car,0.63,142,41,163,62,
42,363,car,0.63,141,102,176,141,
42,364,train,0.56,288,117,320,161,
42,365,bus,0.39,300,170,346,241,
42,366,car,0.32,141,114,174,141,
42,367,car,0.31,203,18,217,31,
42,368,person,0.30,31,225,38,243,
42,369,person,0.29,63,192,69,208,
42,370,car,0.26,124,189,192,272,Left Lane
43,371,car,0.84,179,43,200,60,
43,372,car,0.71,544,160,599,206,
43,373,car,0.65,142,41,163,62,
43,374,car,0.61,139,104,176,145,
43,375,train,0.49,288,118,320,162,
43,376,car,0.36,203,18,217,31,
43,377,bus,0.35,299,171,346,241,
43,378,truck,0.35,120,194,190,282,Left Lane
43,379,person,0.34,63,192,69,208,
43,380,car,0.33,120,194,189,281,Left Lane
43,381,person,0.32,31,225,38,243,
43,382,bus,0.30,289,117,321,163,
44,383,car,0.83,179,44,200,62,
44,384,car,0.63,142,41,163,61,
44,385,car,0.58,540,156,601,210,
44,386,car,0.57,136,108,173,149,
44,387,bus,0.43,299,172,347,242,
44,388,truck,0.39,115,200,187,290,Left Lane
44,389,car,0.39,203,18,218,32,
44,390,car,0.37,136,123,170,149,
44,391,bus,0.37,289,118,321,163,
44,392,car,0.35,115,201,187,290,Left Lane
44,393,person,0.35,63,192,69,208,
44,394,person,0.30,31,225,38,243,
44,395,car,0.30,289,118,321,163,
45,396,car,0.72,179,45,200,62,
45,397,car,0.63,142,41,163,61,
45,398,car,0.60,536,160,601,214,
45,399,car,0.49,134,128,167,153,
45,400,bus,0.41,110,207,183,300,Left Lane
45,401,car,0.39,204,18,218,33,
45,402,car,0.35,109,207,185,300,Left Lane
45,403,bus,0.34,301,173,347,243,
45,404,person,0.32,31,225,38,243,
45,405,train,0.30,288,118,321,163,
45,406,bus,0.26,289,118,321,164,
45,407,person,0.26,63,192,69,208,
46,408,car,0.63,142,41,163,61,
46,409,car,0.62,179,46,200,64,
46,410,car,0.49,132,123,167,157,
46,411,car,0.47,532,160,600,217,
46,412,bus,0.46,104,213,181,310,Left Lane
46,413,car,0.45,131,133,166,157,
46,414,person,0.38,31,225,38,243,
46,415,car,0.32,132,114,170,156,
46,416,car,0.32,289,118,321,164,
